short name of method 	full name of method 	equation 	parameters 
Antoine 	Antoine vapor pressure equation 	log(p) = a - b/(T+c) 	a, b, c 
Wrede 	Wrede vapor pressure equation 	log(p) = a - b/T 	a, b 
Wrede-ln 	Wrede vapor pressure equation 	ln(p) = a - b/T 	a, b 
Cragoe 	Cragoe vapor pressure equation 	log(p) = a + b/T + c*T + d*T2 	a, b, c, d 
Riedel 	Riedel vapor pressure equation 	ln(p) = a - b/T + c*T + d*T2 + e*ln(T) 	a, b, c, d, e 
Wagner 	Wagner vapor pressure equation 	"ln(p/pcrit) = (a*x + b*x(3/2) + c*x3 + d*x6)/(T/Tcrit); x = 1 - T/Tcrit "	a, b, c, d, criticalPressure, criticalTemperature 
Wagner2 	2nd Wagner vapor pressure equation 	"ln(p/pcrit) = (a*x + b*x(3/2) + c*x3 + d*x7 + e*x9)/(T/Tcrit); x = 1 - T/Tcrit "	a, b, c, d, e, criticalPressure, criticalTemperature 
Wagner3 	Wagner vapor pressure equation (Aspen) 	"ln(p/pcrit) = (a*x + b*x(3/2) + c*x3 + d*x4)/(T/Tcrit); x = 1 - T/Tcrit "	a, b, c, d, criticalPressure, criticalTemperature 
Chebyshev 	Chebyshev vapor pressure equation 	"T*log(p) = c0/2 + ?(s)[cs * Es(x)]; x = 2*T - (Tmax+Tmin)/(Tmax-Tmin); Es(x) = Chebyshev polynomial of order s "	c_0, c_1, c_2, ....., T_min, T_max 
polynomial 	polynomial 	y = a + b*x + c*x2 + ...+ j*x9 x = any property 	a, b, c, d, e, f, g, h, i, j 
vapor pressure_1 	vapor pressure equation 	ln(p) = a + b*T + c/T + d/T2 	a, b, c, d 
mod.Antoine( Hysys) 	modified Antoine vapor pressure equation (Hysys[9], page A-36) 	ln(p) = A + B/(T+C) + D*T + E*ln(T) + F*TG 	A, B, C, D, E, F, G 
mod.Antoine( Aspen) 	modified Antoine vapor pressure equation (Aspen[7], page 3-80) 	ln(p) = A + B/(T+C) + D*ln(T) + E*TF 	A, B, C, D, E, F 
Jones-Dole 	Jones-Dole equation 	?/?0 = 1 + a*vc + b*c 	a, b, viscosity_0 
Yen-Woods 	Yen-Woods equation for densities 	d = dcrit * (a + ?(j)(kj)*(1T/Tcrit)(j/3)) 	criticalDensity, criticalTemperature, a, k_0, k_1, k_2, ... 
Antoine viscosity 	Antoine equation for the viscosity 	ln(?) = a + b/(T+c) 	a, b, c 
Riedel therm.cond. 	Riedel equation for thermal conductivities 	? = a * (1 + (20/3)*(1 - T/Tcrit)(2/3)) 	a, criticalTemperature 
Sprow/Prausni tz 	Surface Tension after Sprow and Prausnitz 	s = a * (1 - T/Tcrit)b 	a, b, criticalTemperature 
modified polynomial 	modified polynomial 	property = a + b/T + c/T2 + d*T + e*T2 + f*T3 + ... 	a, b, c, d, e, f, ... 
Yuan/Mok 	Yuan - Mok equation for the heat capacity 	cp = a + b * exp(-c/Tn) 	a, b, c, n 
Redlich-Kister 	Redlich-Kister equation for excess properties in binary systems 	? property = x1 * x2 * S(i)(ai*(x1x2)i) 	a_0, a_1, a_2, a_3, ... 
thermal conductivity (NEL) 	NEL equation for thermal conductivity 	"? = a*(1 + b*x(1/3) + c*x(2/3) + d*x); x=1-T/Tcrit "	a, b, c, d, criticalTemperature 
virial equation 	virial equation 	Z = 1 + vc2*p + vc3*p2 + vc4*p4 + ... 	vc_2, vc_3, vc_4 
BWR 	BWR-equation of state 	p = R*T*d + (b0*R*T -a0 c0/T2)*d2 + (b0*R*T - a0)*d3 +a*a*d6 + (c*d3/T2)*(1 + ?*d2)*exp(-?*d2) 	a_0, b_0, c_0, a, b, c, alpha, gamma 
BWR-Lee-Starling 	Benedict-Webb-Rubin-Lee-Starling equation of state (Aspen[7], page 3-8) 	"Zm = Zm0 + ?i*Zm1; Zm0, Zm1 =function(T,Tcrit,vm,vcrit,m) "	criticalTemperature _i, criticalVolume_i, gamma_i, epsilon_i_j, eta_i_j 
Hayden-O'Connel 	Hayden-O'Connel equation of state (Aspen[7], page 3-9) 	"Zm = 1 + B*p/R*T; B = S(i)S(j)Bij(T) "	B_i_j 
Lee-Kesler 	Lee-Kesler equation of state (Aspen[7], page 3-18) 	Z = Z0 + (Zr-Z0)*?/?r Z0 = fct0(T/Tcrit, p/prit) Zr  = fctr(T/Tcrit, p/pcrit) 	criticalTemperature, criticalPressure, omega 
Lee-Kesler-Plöcker 	Lee-Kesler-Plöcker equation of state (Aspen[7], page 3-19) 	"Zm = Zm0 + (?/?r)*(Zm0 - Zmr) ; Zm0 = fct0(T,Tcrit, vm, vcrit,m); Zmr = fctf(T,Tcrit,vm,vcrit,m) mixing rules for vcrit,m, Tcrit "	criticalTemperature, criticalPressure, vcriticalVolume, omega, Z_c_i, K_i_j 
Peng-Robinson-Boston-Mathias 	Peng-Robinson-Boston-Mathias equation of state (Aspen[7], page 325) 		
p = R*T/(vm-b) a/[vm*(vm+b)+b*(vm-b)] 	criticalTemperature_i, criticalPressure_i, omega_i, k_1_2 		
Redlich-Kwong 	Redlich-Kwong equation of state (Aspen[7], page 3-27) 	p = R*T/(vm-b) (a/v(T))/[vm*(vm+b)] 	criticalTemperature_i, criticalPressure_i 
Redlich-Kwong-Aspen 	Aspen modification of the Redlich-Kwong equation of state( Aspen[7], page 3-28) 	p = R*T/(vm-b) - a/[vm*(vm+b)] with mixing rules 	criticalTemperature_i, criticalPressure_i, omega_i, eta_i,k_0_a__i_j, k_1_a_i_j, k_0_D_i_j, k_1_D_i_j, 
Redlich-Kwong-Soave-Boston-Mathias 	Redlich-Kwong equation of state with Boston-Mathias alpha function (Aspen[7], page 3-29) 	p = R*T/(vm-b) - a/[vm*(vm+b)] with mixing rules 	criticalTemperature_i, criticalPressure_i, omega_i, k_i_j 
