NUMBER	COMPONENT	MOLE WT	FREEZE	BOILING	CRITICAL	CRITICAL	CRITICAL 	CRITICAL	ACENTRIC	LIQ DEN	REF T FOR	DIPOLE		VAPOR HEAT CAPACITY			   LIQUID VISCOSITY		STD HEAT	STD ENERGY	    ANTOINE VAPOR PRESSURE EQN			VAP PRESS	VAP PRESS		HARLACHER VAPOR PRESSURE EQN			HEAT VAPOR
			POINT	POINT	TEMP	PRESSURE	VOLUME	COMPRESS	FACTOR	@TDEN	LIQDEN	MOMENT	    CP=A+(B*T)+(C*T^2)+(D*T^3)				  LOG(V)=B*(1/T-1/C)		FORM	FORM		LN(P)=A-B/(T+C)		MAX TEMP	MIN TEMP	       LN(PVP)=A+B/T+C*LN(T)+(D*PVP/(T^2))				NORMAL BP
			K	K	K	ATM	CC/G-MOL			G/CC	K	DEBYES	  T AS K AND Cpvap IN CAL/G-MOLE-K				  T AS K AND V AS CP		 KCAL/G-MOLE	 KCAL/G-MOLE	        P AS mmHg AND T AS K			K	K		PVP AS mmHg AND T AS K			CAL/G-MOLE
			(TFP)	(TB)	(TC)	(PC)	(VC)	(ZC)	(OMEGA)	(LIQDEN)	(TDEN)	(DIPM)	(A)	(B)	(C)	(D)	B	C	DELHG	DELGF	A	B	C	TMX	TMN	A	B	C	D	HV
********	******************************************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************	************

1	ARGON	39,948 	83,8 	87,3 	150,8 	48,1 	74,9 	0,291 	-0,004 	1,373 	90,0 	0,0 	4,9690 	-7,670E-06 	1,234E-08 	0,000E+00 	107,57 	58,76 	0	0	15,2330 	700,51 	-5,84 	94	81	31,173 	-1039,64 	-2,382 	0,264 	1560
2	BORON TRICHLORIDE	117,169 	165,9 	285,7 	452,0 	38,2 	0,0 	0,000 	0,150 	1,350 	284,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	52,723 	-4443,16 	-5,404 	2,970 	0
3	BORON TRIFLUORIDE	67,805 	146,5 	173,3 	260,8 	49,2 	0,0 	0,000 	0,420 	0,000 	0,0 	0,0 	0,0000 	0,000E+00 	0,000E+00 	0,000E+00 	0,00 	0,00 	0	0	0,0000 	0,00 	0,00 	0	0	67,758 	-3748,59 	-2,819 	1,200 	6140
4	BROMINE	159,808 	266,0 	331,9 	584,0 	102,0 	127,0 	0,270 	0,132 	3,119 	293,0 	0,2 	8,0870 	2,688E-03 	-2,846E-06 	1,083E-09 	387,82 	292,79 	0	0	15,8441 	2582,32 	-51,56 	354	259	0,000 	0,00 	0,000 	0,000 	7210
5	NITROSYL CHLORIDE	65,459 	213,5 	2667,7 	440,0 	90,0 	139,0 	0,350 	0,318 	1,420 	261,0 	1,8 	8,1440 	1,068E-02 	-7,977E-06 	2,424E-09 	0,00 	0,00 	12,57	16	166,9505 	2520,70 	-23,46 	285	210	36,380 	-3748,59 	-2,819 	1,200 	6140
